OBJECTID,ASSET_ID,SITE_NAME,PLOT_NO,FEATURE_ID,LOCATION,TYPE,PRIM_MEAS,UNIT,SITE_CODE,FEAT_GP,UPRN,VALIDATED,CENTROID_X,CENTROID_Y,FEATURE_AREA,FEATURE_LENGTH,WEB_SITE,MAKE_UPRN,MAJOR_SITE,CENTRAL_ASSET_ID,CONTRACT_AREA_NAME,CUSTOMER,DEAD_FLAG,FEATURE_GROUP,FEATURE_GROUP_CODE,FEATURE_TYPE_NAME,FEATURETYPECODE,NOTES,REVISION_NO,gislive.PARKS.P_AND_GS_SITES.AREA,SITE,SHAPESTArea,SHAPESTLength
325,PK00145101,Thomas Memorial,108888,Amenity Area," Attraction,",Parks and Green Space Site,1,Site,THOMME,PG,000000303476,2022/09/20 00:00:00+00,357348.6273507,174815.62523825,584.7280115,103.64219527,out,0,584.72801*,,,,,,,,,,,,,584.7280115,103.642195268625
326,PK00145100,Thicket Avenue & Quadrant West,108888,Amenity Area,,Parks and Green Space Site,1,Site,THICAVQUWE,PG,000000303316,2022/09/20 00:00:00+00,364073.97744967,175159.84465432,2684.48685302,203.69983545,out,0,2684.4868*,,,,,,,,,,,,,2684.486853,203.699835449549
327,PK00144948,Troopers Hill Field,108888,Open Space," Play Area,",Parks and Green Space Site,1,Site,MALVROOS,PG,000000303267,2022/09/20 00:00:00+00,362816.69434636,173330.06370024,17194.54235909,593.02233787,in,0,17194.542*,,,,,,,,,,,,,17194.542359,593.0223378698
328,PK00145108,Trendlewood Park Estate,108888,Open Space,,Parks and Green Space Site,1,Site,TRENPAES,PG,000000303677,2022/09/20 00:00:00+00,362026.39528016,176174.7175562,7831.45910752,542.90869337,in,0,7831.4591*,,,,,,,,,,,,,7831.4591075,542.908693379108
329,PK00145107,Tree Tops Developments (Knole Lane),108888,Open Space,,Parks and Green Space Site,1,Site,TREETODEKN,PG,000000303466,2022/09/20 00:00:00+00,357903.00396526,179077.43695585,23282.49687656,2253.56787936,in,0,23282.496*,,,,,,,,,,,,,23282.4968765,2253.56787936326
330,PK00145106,Tranmere Avenue Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,TRANAVOS,PG,000000303393,2022/09/20 00:00:00+00,357123.75884258,179674.13009781,6929.05121548,419.50456323,out,0,6929.0512*,,,,,,,,,,,,,6929.0512155,419.504563226365
331,PK00144709,Arnos Vale Cemetery,108888,Cemeteries & Cremat*,"Heritage at Risk,",Parks and Green Space Site,1,Site,ARNOVACE,PG,000000272175,2022/09/20 00:00:00+00,360699.19929137,171428.34981535,169187.38567058,1679.86600167,Out,1,169187.38*,,,,,,,,,,,,,169187.385670625,1679.86600166386
332,PK00144891,Old Quarry Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,HENLROCPQU,PG,000000303344,2022/09/20 00:00:00+00,357879.76049877,177107.70510165,8290.60706103,427.53931021,in,0,8290.6070*,,,,,,,,,,,,,8290.607061,427.539310212251
333,PK00145105,Trafalgar Terrace,108888,Childrens Play Only," Play Area,",Parks and Green Space Site,1,Site,TRAFTE,PG, ,2022/09/20 00:00:00+00,357531.2819394,170514.31296194,143.933705,72.28975176,out,0,143.93370*,,,,,,,,,,,,,143.933705,72.2897517633622
334,PK00145099,The Urban Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,THEURPA,PG, ,2022/09/20 00:00:00+00,360987.22066854,173091.30543276,6118.63096352,541.29900586,in,0,6118.6309*,,,,,,,,,,,,,6118.6309635,541.299005861454
335,PK00145097,The Square,108888,Amenity Area,,Parks and Green Space Site,1,Site,THESQ,PG,000000303404,2022/09/20 00:00:00+00,360421.99513843,170366.06637383,6395.20220752,311.91601208,in,0,6395.2022*,,,,,,,,,,,,,6395.2022075,311.91601207799
336,PK00144696,Airport Road O/S,108888,Open Space,,Parks and Green Space Site,1,Site,AIRPROOS,PG,000000303401,2022/09/23 00:00:00+00,360090.996213,169612.20086716,5001.70728464,2566.45512646,Out,0,56917.638*,,,,,,,,,,,,,5001.7072846,437.706594094333
337,PK00145050,Snuff Mills Park,108888,Open Space,Listed Building,Parks and Green Space Site,1,Site,SNUFMIPA,PG,000000303328,2022/09/15 00:00:00+00,362602.01127108,176528.92818216,53003.42612611,2662.01142891,in,0,53141.212*,,,,,,,,,,,,,53003.426126025,2627.56872027632
338,PK00144707,Arnall Drive Open Space,108888,Playing Field," Sports Facilities,",Parks and Green Space Site,1,Site,ARNADROS,PG,000000303368,2022/09/28 00:00:00+00,356664.74938717,178588.14099885,58638.82785041,1377.07507945,in,0,58638.827*,,,,,,,,,,,,,58638.8278505,1377.07507945045
339,PK00144708,Arnos Court Park,108888,District Park," Play Area,",Parks and Green Space Site,1,Site,ARNOCOPA,PG,000000303246,2022/09/28 00:00:00+00,361023.19282901,171317.00711323,69928.03278011,1548.10178613,In,0,69928.032*,,,,,,,,,,,,,69928.03278,1548.10178612296
340,PK00144710,Ashley Street Park,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,ASHLSTPA,PG,000000300472,2022/09/28 00:00:00+00,360058.63453138,174448.15824052,1721.23856802,184.33919947,In,0,1721.2385*,,,,,,,,,,,,,1721.238568,184.339199473533
341,PK00144724,Bath Road 3 Lamps PGSS,108888,Amenity Area,,Parks and Green Space Site,1,Site,BATHRO3,PG, ,2022/09/29 00:00:00+00,360049.46116504,171798.15631511,21242.16782401,1058.35255995,out,0,21242.167*,,,,,,,,,,,,,21242.167824,1058.35255995244
342,PK00144717,Badocks Wood,108888,Open Space," Attraction,",Parks and Green Space Site,1,Site,BADOWOBOGD,PG,000000303352,2022/09/29 00:00:00+00,357965.67593792,177787.37756912,135534.41439945,2475.99301703,in,0,135534.41*,,,,,,,,,,,,,135534.4143995,2475.9930170403
343,PK00144733,Beverston Gardens Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,BEVEGA,PG,000000303371,2022/09/29 00:00:00+00,354878.54317046,178523.37574762,3237.01550649,272.68853026,in,0,3237.0155*,,,,,,,,,,,,,3237.0155065,272.688530262876
344,PK00144726,Bedminster Common Open Space,108888,Open Space," Sports Facilities,",Parks and Green Space Site,1,Site,BEDMCOTI,PG,000000303480,2022/09/29 00:00:00+00,356985.4923536,169989.40945424,204884.58075421,4611.50276134,in,0,204884.58*,,,,,,,,,,,,,204884.5807545,4611.50276133106
345,PK00144751,BRI Hospital Bank,108888,Amenity Area,,Parks and Green Space Site,1,Site,BRIHOBA,PG,000000303222,2022/09/29 00:00:00+00,358818.31546562,173620.02512575,900.2108595,249.83333958,Out,0,900.21085*,,,,,,,,,,,,,900.2108595,249.833339583377
346,PK00144737,Blaise Hamlet,108888,Local Park,"Grade 1 Listed Building, Attraction,",Parks and Green Space Site,1,Site,BLAIHA,PG,000000297802,2022/09/29 00:00:00+00,355991.66050627,178888.30027078,3073.61204249,312.89284927,out,0,3073.6120*,,,,,,,,,,,,,3073.6120425,312.892849280461
347,PK00144753,Bristol / Bath Railway Path (Central),108888,Open Space," Play Area,",Parks and Green Space Site,1,Site,BRISBACYC,PG,000000303488,2022/09/29 00:00:00+00,361243.43362983,173959.00197202,30941.78890648,4404.99117108,in,0,30941.788*,,,,,,,,,,,,,30941.7889065,4404.99117107693
348,PK00144768,Bushy Park & Oxford Street Green Space,108888,Open Space,,Parks and Green Space Site,1,Site,BUSHPAOXST,PG,000000303839,2022/09/30 00:00:00+00,359763.53187837,171485.16484391,6061.54449349,748.51820346,out,0,6061.5444*,,,,,,,,,,,,,6061.5444935,748.518203463839
349,PK00144761,Broomhill Road Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,BROOMRO,PG,000000303671,2022/09/30 00:00:00+00,363144.1898039,170776.26750709,2117.73101452,200.12755277,Out,0,2117.7310*,,,,,,,,,,,,,2117.7310145,200.127552773969
350,PK00144762,Broomhill Road (Emery Road) R/O Bank,108888,Open Space,,Parks and Green Space Site,1,Site,BROOROEMRO,PG,000000303886,2022/09/30 00:00:00+00,362731.16254761,170276.25219884,1059.57799899,181.18159503,out,0,1059.5779*,,,,,,,,,,,,,1059.577999,181.181595032801
351,PK00144752,Bristol 600 Club (Novers Lane),108888,Amenity Area,,Parks and Green Space Site,1,Site,BRIS60CLNO,PG,303536,2022/09/30 00:00:00+00,358417.75854992,169034.1721672,1322.82434351,292.27986407,Out,0,1322.8243*,,,,,,,,,,,,,1322.8243435,292.279864066981
352,PK00144754,Bristol / Bath Railway Path (East),108888,Open Space,,Parks and Green Space Site,1,Site,BRISBACYPA,PG,303794,2022/09/30 00:00:00+00,363366.53612454,175440.4186554,56539.44254632,6450.51766848,in,0,56539.442*,,,,,,,,,,,,,56539.4425464,6450.51766848219
353,PK00144769,Bushy Park YMCA,108888,Amenity Area,,Parks and Green Space Site,1,Site,BUSHPAYM,PG,000000303846,2022/09/30 00:00:00+00,359906.03756396,171554.42916622,1178.22687601,156.54101562,Pa*,0,1178.2268*,,,,,,,,,,,,,1178.226876,156.54101561431
354,PK00144773,Canford Lane Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,CANFLAAA,PG,000000303389,2022/09/30 00:00:00+00,356719.93912268,177493.52867832,2194.18310699,411.59923369,out,1,2194.1831*,,,,,,,,,,,,,2194.183107,411.599233686007
355,PK00144777,Castle Park,108888,City Centre Park,"SAM Attraction, Cafe/Mobile Catering,",Parks and Green Space Site,1,Site,CASTPA,PG,000000298848,2022/09/30 00:00:00+00,359212.33357304,173115.44266709,53969.40874489,1476.57711797,in,0,53996.581*,,,,,,,,,,,,,53969.408744955,1476.46418425375
356,PK00144778,Chalks Road Bank,108888,Amenity Area,,Parks and Green Space Site,1,Site,CHALROBA,PG,000000303273,2022/09/30 00:00:00+00,361748.70403756,173641.95175586,1455.47722847,290.54582258,out,1,1455.4772*,,,,,,,,,,,,,1455.4772285,290.545822580979
357,PK00144792,Clifton Wood Terrace Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,CLIFWOTEOS,PG, ,2022/09/30 00:00:00+00,357429.39269158,172509.06485076,1688.87905254,328.44997567,pe*,0,2108.7121*,,,,,,,,,,,,,1688.8790525,229.229153998701
358,PK00144799,Cotham Gardens Green Space,108888,Local Park," Attraction, Play Area,",Parks and Green Space Site,1,Site,COTHGA,PG,000000303203,2022/09/30 00:00:00+00,358513.91511765,174460.05369126,12665.89328748,517.3325505,in,0,12665.893*,,,,,,,,,,,,,12665.8932875,517.33255050192
359,PK00144796,Colston Avenue Amenity Area,108888,Amenity Area," Attraction,",Parks and Green Space Site,1,Site,COLSAV,PG,000000303225,2022/09/30 00:00:00+00,358650.01315601,173049.9389629,4480.94607458,219.90390283,out,0,2501.6275*,,,,,,,,,,,,,4480.94607461,324.989934636356
360,PK00144804,Craydon Road Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,CRAYROOS,PG, ,2022/09/30 00:00:00+00,361886.89306218,168222.21975857,77337.79765188,1928.05641989,in,0,77337.797*,,,,,,,,,,,,,77337.797651875,1928.05641988746
361,PK00144805,Craydon Road Triangle,108888,Amenity Area,,Parks and Green Space Site,1,Site,CRAYROTR,PG,000000303544,2022/09/30 00:00:00+00,361586.92046604,168104.76346226,2417.17501906,261.31056482,out,0,2756.5327*,,,,,,,,,,,,,2417.175019065,247.933872136185
362,PK00144798,Coombe Brook Valley,108888,Open Space,,Parks and Green Space Site,1,Site,COOMBRVA,PG,303285,2022/09/30 00:00:00+00,363132.6465859,174801.23425265,34729.43731555,1404.39184905,In,0,37967.803*,,,,,,,,,,,,,34729.43731554,1295.87653158875
363,PK00144807,Crox Bottom Green Space,108888,Open Space,Listed Building,Parks and Green Space Site,1,Site,CROXBO,PG,000000300339,2022/09/30 00:00:00+00,358152.19602619,168937.62888932,84281.75001351,2216.98140184,in,0,84281.750*,,,,,,,,,,,,,84281.7500135,2216.98140183815
364,PK00144806,Crosscombe Drive Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,CROSDROS,PG,000000303487,2022/09/30 00:00:00+00,357731.50082486,167220.67893963,250078.96941466,4553.13592667,in,0,257015.13*,,,,,,,,,,,,,250078.969414605,4554.26819864571
365,PK00144817,Dorian Road Playing Field,108888,Playing Field," Sports Facilities,",Parks and Green Space Site,1,Site,DORIROPF,PG,000000303848,2022/09/30 00:00:00+00,359588.28647108,177487.42801642,27653.6751675,737.89675446,in,0,31346.439*,,,,,,,,,,,,,27653.6751675,857.908990418216
366,PK00144830,Elderberry Walk Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,ELDEWAOS,PG,000000303720,2022/09/30 00:00:00+00,358272.81654894,179089.74870665,43978.70113445,1096.50016455,in,0,43978.701*,,,,,,,,,,,,,43978.7011345,1096.50016455486
367,PK00144827,East Park Housing,108888,Open Space," Attraction, Play Area,",Parks and Green Space Site,1,Site,EASTPAHO,PG,000000303287,2022/09/30 00:00:00+00,361297.28078613,174693.23659845,15355.85023695,1397.87002571,In,0,15355.850*,,,,,,,,,,,,,15355.850237,1397.87002569868
368,PK00144823,Dundridge Farm Playing Fields,108888,Playing Field," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,DUNDFAPLFI,PG, ,2022/09/30 00:00:00+00,363196.49458411,172392.87115335,135991.71549447,1827.84024219,In,0,135991.71*,,,,,,,,,,,,,135991.7154945,1827.84024220003
369,PK00144837,Felix Road Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,FELIRO,PG,000000303262,2022/09/30 00:00:00+00,360679.14194763,173922.31926857,1138.634098,187.01295274,In,0,1138.6340*,,,,,,,,,,,,,1138.634098,187.012952733664
370,PK00144847,Francis Road Open Space,108888,Pocket Park,,Parks and Green Space Site,1,Site,FRANROOS,PG,000000303835,2022/09/30 00:00:00+00,358493.93578456,170941.68876266,2096.53757949,222.17405784,out,0,2096.5375*,,,,,,,,,,,,,2096.5375795,222.174057837564
371,PK00144846,Fox Road Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,FOXRO,PG,000000303265,2022/09/30 00:00:00+00,360650.99077009,174537.91763782,8689.7609685,740.19307509,In,0,8689.7609*,,,,,,,,,,,,,8689.7609685,740.193075087012
372,PK00144866,Gordon Road Woodland Verge,108888,Road Verges,,Parks and Green Space Site,1,Site,GORDRO,PG,000000303288,2022/09/30 00:00:00+00,361912.58147601,174507.65025116,2530.72818848,739.38246832,Out,0,2530.7281*,,,,,,,,,,,,,2530.7281885,739.382468319276
373,PK00144857,George Jones Park,108888,Local Park," Sports Facilities,",Parks and Green Space Site,1,Site,GEORJOPA,PG,000000303250,2022/09/30 00:00:00+00,359887.11365436,173380.44349322,6687.79122851,437.86738325,In,0,6687.7912*,,,,,,,,,,,,,6687.7912285,437.867383247258
374,PK00144875,Ham Lane Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,HAMLA,PG,000000303270,2022/09/30 00:00:00+00,362296.21685414,176598.16155106,7445.30302998,474.15735199,In,0,7445.3030*,,,,,,,,,,,,,7445.30303,474.157351993831
375,PK00144884,Henacre Open Space,108888,Open Space," Play Area,",Parks and Green Space Site,1,Site,HENAOS,PG,000000303370,2022/09/30 00:00:00+00,353570.70360707,177883.15381648,58051.47966481,1816.88409871,out,0,99390.745*,,,,,,,,,,,,,58051.47966466,1679.87365161794
376,PK00144894,Highridge Green & Common Surrounds,108888,Road Verges,,Parks and Green Space Site,1,Site,HIGHGRCOSU,PG,000000303847,2022/09/13 00:00:00+00,356435.16758475,168665.05914531,9403.91192884,1657.54830313,out,0,9216.2031*,,,,,,,,,,,,,9403.91192886,1836.99676853096
377,PK00205728,Highridge Common,108004,Open Space,,Parks and Green Space Site,62254.00210291,Square Metre,HIGHCO,PT,1,2022/09/30 00:00:00+00,356379.26374083,168378.00965534,63330.26279165,1451.50579285,1,1,1,,,,,,,,,,,,,63330.26279162,1533.8654671992
378,PK00144898,Hillfields Park,108888,Local Park," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,HILLREGR,PG,000000303298,2022/09/30 00:00:00+00,363929.43409361,175196.91426096,31454.92084606,1171.17362307,In,0,31454.920*,,,,,,,,,,,,,31454.920846,1171.17362307042
379,PK00144920,Kingsweston Estate,108888,Destination Park,"Grade 1 Listed Building, Attraction,",Parks and Green Space Site,1,Site,KINGWEES,PG,000000303419,2022/09/30 00:00:00+00,353800.48228623,177312.88923246,311899.71079318,4479.77224011,in,0,311899.71*,,,,,,,,,,,,,311899.710793,4479.77224010225
380,PK00144922,Kings Weston Lane O/S (South of M5),108888,Open Space,,Parks and Green Space Site,1,Site,KINGWELAM5,PG,000000303369,2022/09/30 00:00:00+00,353642.78130138,178429.62472156,45259.52575507,946.94117635,in,0,45259.525*,,,,,,,,,,,,,45259.525755,946.941176350072
381,PK00144901,Home Ground (Shirehampton),108888,Amenity Area," Play Area,",Parks and Green Space Site,1,Site,HOMEGRSH,PG,000000303208,2022/09/30 00:00:00+00,352983.52103374,177167.07463156,1964.52307549,212.9375802,in,0,1964.5230*,,,,,,,,,,,,,1964.5230755,212.937580205232
382,PK00144921,Kingsweston House,108888,Destination Park,Grade 1 Listed Building,Parks and Green Space Site,1,Site,KINGWEHO,PG,000000303421,2022/09/30 00:00:00+00,354224.02678442,177467.46780641,14747.95884002,539.60861235,out,0,14747.958*,,,,,,,,,,,,,14747.95884,539.608612340748
383,PK00144935,Leinster Avenue Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,LEINAVOS,PG,000000303472,2022/09/30 00:00:00+00,358856.59195149,169664.24569996,2284.775359,259.00159907,out,0,2284.7753*,,,,,,,,,,,,,2284.775359,259.001599069975
384,PK00144945,Lower Castle Street Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,LOWECAST,PG,000000300074,2022/09/30 00:00:00+00,359381.6497022,173246.30114996,1145.90543299,164.47436273,Out,0,1145.9054*,,,,,,,,,,,,,1145.905433,164.474362724878
385,PK00144940,Long Cross Layby,108888,Road Verges," Play Area,",Parks and Green Space Site,1,Site,LONGCRLA,PG,000000303353,2022/09/30 00:00:00+00,354342.84322694,178297.54418874,8774.89402749,508.41398436,in,0,8774.8940*,,,,,,,,,,,,,8774.8940275,508.413984363972
386,PK00144957,Maskelyne Avenue Amenity Area,108888,Amenity Area," Play Area,",Parks and Green Space Site,1,Site,MASKAVCP,PG,000000303391,2022/09/30 00:00:00+00,358845.0590297,177134.92830092,4974.67620007,479.74468963,Pa*,0,4974.6762*,,,,,,,,,,,,,4974.6762,479.744689628481
387,PK00144968,Millennium Parade,108888,Amenity Area," Attraction, Cafe/Mobile Catering,",Parks and Green Space Site,1,Site,MILLPR,PG,299395,2022/09/30 00:00:00+00,358584.33574576,172847.22311571,8748.06709016,689.91428362,Out,0,8975.9486*,,,,,,,,,,,,,8748.06709015,726.928232515594
388,PK00144970,Millpond Street Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,MILLST,PG, ,2022/09/30 00:00:00+00,360274.68999068,174344.30162015,1115.92545854,305.96191218,out,0,1085.4274*,,,,,,,,,,,,,1115.92545856,313.261746444059
389,PK00144996,Okebourne Road Open Space,108888,Open Space," Play Area,",Parks and Green Space Site,1,Site,OKEBROOS,PG, ,2022/09/30 00:00:00+00,358177.53308093,179435.17387908,52623.32237499,1242.95276066,in,0,52623.322*,,,,,,,,,,,,,52623.322375,1242.95276066233
390,PK00144993,Nursery End Estate,108888,Amenity Area,,Parks and Green Space Site,1,Site,NURSENES,PG,000000303676,2022/09/30 00:00:00+00,363219.76402435,170758.50556454,1726.19274754,209.95648158,out,0,1726.1927*,,,,,,,,,,,,,1726.1927475,209.956481583017
391,PK00144978,Moor Grove Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,MOORROWO,PG,000000303394,2022/09/30 00:00:00+00,354068.48563414,177824.56582682,6525.61312007,421.41352999,in,0,6765.0758*,,,,,,,,,,,,,6525.61312008,423.415446730508
392,PK00145037,Paignton Park,108888,Open Space,,Parks and Green Space Site,1,Site,SALCROREGR,PG,000000303549,2022/09/30 00:00:00+00,360095.73730004,170379.28251225,7044.50988596,345.74102367,in,0,7044.5098*,,,,,,,,,,,,,7044.50988596,345.741023666842
393,PK00145004,Pen Park Road Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,PENPAROOS,PG,000000303648,2022/09/30 00:00:00+00,358531.60824445,179191.50576699,7905.13014249,364.76244834,in,0,7905.1301*,,,,,,,,,,,,,7905.1301425,364.762448337411
394,PK00145003,Pen Park Playing Fields,108888,Playing Field," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,PENPAPLFI,PG,000000303661,2022/09/30 00:00:00+00,359042.29979205,178832.254171,58206.44408139,1269.47513271,pe*,0,58206.444*,,,,,,,,,,,,,58206.4440815,1269.4751327148
395,PK00144716,River Avon Trail West,108888,Open Space,Grade 1 Listed Building,Parks and Green Space Site,1,Site,AVONWAWE,PG,000000303853,2022/09/30 00:00:00+00,355092.36219364,175146.33968695,38621.08142156,11818.31967962,Pe*,0,38621.081*,,,,,,,,,,,,,38621.0814215,11818.3196796177
396,PK00145029,Ridgeway Playing Fields,108888,Playing Field," Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,RIDGPLFI,PG,303278,2022/09/30 00:00:00+00,362746.69912443,174891.01611267,138219.79152501,2685.71884395,in,0,138219.79*,,,,,,,,,,,,,138219.791525,2685.71884394769
397,PK00145027,Richmond Terrace O/S,108888,Local Park," Play Area,",Parks and Green Space Site,1,Site,RICHTEOPSP,PG,000000303644,2022/09/30 00:00:00+00,351475.76924373,178407.34420352,1278.79611049,148.74991425,in,0,1278.7961*,,,,,,,,,,,,,1278.7961105,148.749914252475
398,PK00145030,Riverside Park,108888,Local Park,,Parks and Green Space Site,1,Site,RIVEPA,PG,000000303251,2022/09/30 00:00:00+00,359977.85549695,173966.34547708,25060.91737748,1050.99949379,in,0,25060.917*,,,,,,,,,,,,,25060.9173775,1050.99949378662
399,PK00145085,Sturminster Close,108888,Amenity Area,,Parks and Green Space Site,1,Site,STURCL,PG,000000303805,2022/09/30 00:00:00+00,361632.84394672,168831.65165805,38544.29017257,1341.76024394,in,0,38544.290*,,,,,,,,,,,,,38544.2901725,1341.76024393211
400,PK00220042,Stoke Park Estate,108888,Destination Park,"Heritage at Risk, Attraction,",Parks and Green Space Site,1,Site,STOKPAES,PG, ,2022/09/30 00:00:00+00,361576.31853435,176906.0720954,1075036.18926619,8981.79692685,in,0,1075036.1*,,,,,,,,,,,,,1075036.1892665,8981.79692685775
401,PK00145068,St Johns Churchyard (Central),108888,Local Park,Listed Building,Parks and Green Space Site,1,Site,STJOCHCE,PG,000000303196,2022/09/30 00:00:00+00,358851.17136235,173178.57051322,516.14446651,92.41250287,in,0,516.14446*,,,,,,,,,,,,,516.1444665,92.4125028683951
402,PK00145062,St George Park,108888,District Park," Attraction, Cafe/Mobile Catering, Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,STGEPA,PG,300625,2022/09/30 00:00:00+00,362062.07676301,173744.90071244,148868.69815698,1867.24037391,in,0,148868.69*,,,,,,,,,,,,,148868.698157,1867.24037390837
403,PK00145053,Sparke Evans Park,108888,Open Space,,Parks and Green Space Site,1,Site,SPAREVPA,PG,000000301669,2022/09/30 00:00:00+00,360947.23040286,171977.07585641,23518.76394347,745.39586116,in,0,23518.763*,,,,,,,,,,,,,23518.7639435,745.395861166519
404,PK00145038,Saltmarsh Drive Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,SALTDROS,PG,000000303405,2022/09/30 00:00:00+00,353967.16406488,178498.77604208,209507.29429382,4341.9960585,in,0,209507.29*,,,,,,,,,,,,,209507.294294,4341.99605850428
405,PK00145031,Rodney Road Playing Fields,108888,Playing Field,,Parks and Green Space Site,1,Site,RODNROPF,PG,000000299498,2022/09/30 00:00:00+00,363565.19592313,173885.52737717,10527.80262798,412.61025916,in,0,10527.802*,,,,,,,,,,,,,10527.802628,412.61025916338
406,PK00145132,Winterstoke Road Amenity Area,108888,Amenity Area,,Parks and Green Space Site,1,Site,WINTRO,PG,000000303494,2022/09/30 00:00:00+00,356972.44199278,171073.30735065,1172.87539953,159.08815551,out,0,1172.8753*,,,,,,,,,,,,,1172.8753995,159.088155507038
407,PK00144990,Nightingale Valley,108888,Open Space,,Parks and Green Space Site,1,Site,NIGHVA,PG,000000299042,2022/09/14 00:00:00+00,362124.55514003,171784.75995037,130415.51230969,2923.8865151,in,0,129298.32*,,,,,,,,,,,,,130415.5123098,3063.71555279478
408,PK00145118,Wellington Hill Playing Field,108888,Open Space," Sports Facilities,",Parks and Green Space Site,1,Site,WELLHIPF,PG, ,2022/09/30 00:00:00+00,359128.47579841,176582.00227406,14394.72738002,577.36008155,in,0,14394.727*,,,,,,,,,,,,,14394.72738,577.360081558515
409,PK00145089,Temple Gardens Park,108888,Local Park," Attraction,",Parks and Green Space Site,1,Site,TEMPGAPA,PG,000000303201,2022/09/30 00:00:00+00,359368.10719735,172690.68482274,5002.29417498,306.59661234,in,0,5002.2941*,,,,,,,,,,,,,5002.294175,306.596612341509
410,PK00145110,Trymside Open Space,108888,Open Space,"Heritage at Risk,",Parks and Green Space Site,1,Site,TRYMOS,PG,000000303335,2022/09/20 00:00:00+00,355204.1219609,176219.07799992,105228.94103355,2741.19052688,in,0,109824.74*,,,,,,,,,,,,,105228.94103345,2676.11167593732
411,PK00144971,Narroways Millennium Green,108888,Open Space,,Parks and Green Space Site,1,Site,MINAROMIGR,PG,000000303341,2022/09/14 00:00:00+00,360072.699104,175049.70562644,27738.7688407,1441.6687787,in,0,29980.040*,,,,,,,,,,,,,27738.76884075,1417.61638898436
412,PK00145075,Wedmore Vale Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,WEDMVAOS,PG, ,2022/09/20 00:00:00+00,359556.94271232,170536.23755265,65180.77784102,1955.96310789,in,0,65682.750*,,,,,,,,,,,,,65180.777841,1877.73204781367
413,PK00145006,Pigeon House Stream Open Space,108888,Open Space,,Parks and Green Space Site,1,Site,PIGEHOSTOS,PG,000000303833,2011/03/28 00:00:00+00,358739.66858841,167165.17526713,30609.26393147,2328.40521111,in,0,45402.505*,,,,,,,,,,,,,30609.26393146,1679.27851123065
414,PK00144760,Brook A/A (Crosscombe Drive),108888,Open Space,,Parks and Green Space Site,1,Site,BROOAACRDR,PG,000000303706,2022/09/07 00:00:00+00,358236.59595176,167088.48482458,41172.77778296,1806.21005451,in,0,39640.199*,,,,,,,,,,,,,41172.777783025,1905.97954286791
415,PK00144984,Napier Miles O/S & Fernhill Fields,108888,Destination Park," Attraction,",Parks and Green Space Site,1,Site,NAPIMIOSFE,PG,000000303398,2022/09/14 00:00:00+00,354538.5887351,177899.68143772,109431.67583543,2462.09748671,in,0,139022.13*,,,,,,,,,,,,,109431.6758355,2495.21888079321
416,PK00144824,Clifton and Durdham Downs,108888,Destination Park,"Grade 1 Listed Building, SAM Attraction, Cafe/Mobile Catering, Play Area, Sports Facilities,",Parks and Green Space Site,1,Site,DURDDO,PG,000000303261,2022/09/30 00:00:00+00,356731.45445293,174649.77165275,1586270.84419845,27593.37602669,pe*,0,1591188.4*,,,,,,,,,,,,,1586270.84419855,27457.4441244761
